,year,term,cluster
353,2024,интернет_вещей_в_медицине,5
354,2024,интернет_маркетинг,5
355,2024,анализ_бизнес-данных,5
356,2024,контроль_качества,6
357,2024,системы_рекомендаций,6
358,2024,инструменты_для_анализа,7
359,2024,автоматизация_бизнес-процессов,7
360,2024,взаимодействие_с_клиентами,7
361,2024,анализ_текстов,7
362,2024,машинное_обучение,7
363,2024,разработка_систем_управления,7
364,2024,параллельные_вычисления,7
365,2024,облачные_вычисления,7
366,2024,прогнозная_аналитика,8
367,2024,программная_инженерия_в_медицине,9
368,2024,фреймворки_для_разработки,9
369,2024,интернет_вещей_в_медицине,9
370,2024,инженерия_проектов,9
371,2024,обработка_данных_с_помощью_SQL,9
372,2024,подходы_к_обучению,9
373,2024,аналитика_отзывов,9
374,2024,анализ_медиа,9
375,2024,обработка_данных_в_облаке,9
