,year,term,cluster,cluster_name,unique_cluster_name
47,2019,virtual_reality,7,REAL WORLD,2019 7
48,2019,energy_consumption,8,EMERGE TECHNOLOGY,2019 8
49,2019,neural_network,0,LARGE DATASET,2019 0
50,2019,data_set,0,LARGE DATASET,2019 0
51,2019,embed_vision,8,EMERGE TECHNOLOGY,2019 8
52,2019,smart_city,8,EMERGE TECHNOLOGY,2019 8
53,2019,open_source,8,EMERGE TECHNOLOGY,2019 8
54,2019,large_market,4,INDUSTRY LEADER,2019 4
55,2019,cite_source,2,INDEPENDENT RESEARCHER,2019 2
56,2019,significant_improvement,0,LARGE DATASET,2019 0
57,2019,digital_image,0,LARGE DATASET,2019 0
58,2019,company_ability,4,INDUSTRY LEADER,2019 4
59,2019,glance,7,REAL WORLD,2019 7
60,2019,human_brain,5,AI SYSTEM,2019 5
61,2019,graduate_student,9,ELECTRICAL AND COMPUTER ENGINEERING,2019 9
62,2019,late_round,4,INDUSTRY LEADER,2019 4
63,2019,phone_interview,2,INDEPENDENT RESEARCHER,2019 2
64,2019,computer_vision_application,0,LARGE DATASET,2019 0
65,2019,driverless_car,5,AI SYSTEM,2019 5
66,2019,specific_location,6,SPECIFIC LOCATION,2019 6
67,2019,financial_term,4,INDUSTRY LEADER,2019 4
68,2019,result,0,LARGE DATASET,2019 0
69,2019,fundamental_data,6,SPECIFIC LOCATION,2019 6
70,2019,true_power,8,EMERGE TECHNOLOGY,2019 8
71,2019,future_direction,8,EMERGE TECHNOLOGY,2019 8
72,2019,microsoft_azure,8,EMERGE TECHNOLOGY,2019 8
73,2019,natural_language_processing,5,AI SYSTEM,2019 5
74,2019,almost_everything,7,REAL WORLD,2019 7
75,2019,size,6,SPECIFIC LOCATION,2019 6
76,2019,unique_challenge,8,EMERGE TECHNOLOGY,2019 8
77,2019,numerous_practical_application,6,SPECIFIC LOCATION,2019 6
78,2019,aspect,8,EMERGE TECHNOLOGY,2019 8
79,2019,voice_control,7,REAL WORLD,2019 7
80,2019,model_scaling,6,SPECIFIC LOCATION,2019 6
81,2019,large_dataset,0,LARGE DATASET,2019 0
82,2019,two_way_nature,2,INDEPENDENT RESEARCHER,2019 2
83,2019,face_id,7,REAL WORLD,2019 7
84,2019,object_detection,0,LARGE DATASET,2019 0
85,2019,company_spokesperson,4,INDUSTRY LEADER,2019 4
86,2019,edge_device,8,EMERGE TECHNOLOGY,2019 8
87,2019,independent_researcher,2,INDEPENDENT RESEARCHER,2019 2
88,2019,50_country,2,INDEPENDENT RESEARCHER,2019 2
89,2019,frame_rate,0,LARGE DATASET,2019 0
90,2019,visual_imagery,5,AI SYSTEM,2019 5
91,2019,lidar_sensor,0,LARGE DATASET,2019 0
92,2019,scientific_discovery,8,EMERGE TECHNOLOGY,2019 8
93,2019,ph.d._student,9,ELECTRICAL AND COMPUTER ENGINEERING,2019 9
94,2019,initial_launch,4,INDUSTRY LEADER,2019 4
95,2019,hard_problem,5,AI SYSTEM,2019 5
96,2019,poor_household,6,SPECIFIC LOCATION,2019 6
97,2019,traffic_signal,5,AI SYSTEM,2019 5
98,2019,fine_tuning,0,LARGE DATASET,2019 0
99,2019,individual,6,SPECIFIC LOCATION,2019 6
100,2019,corresponding_author,2,INDEPENDENT RESEARCHER,2019 2
101,2019,ibm_watson,5,AI SYSTEM,2019 5
102,2019,hybrid_image_sensor,6,SPECIFIC LOCATION,2019 6
103,2019,inert_object,3,MODERN SMARTPHONE,2019 3
104,2019,complex_task,5,AI SYSTEM,2019 5
105,2019,electrical_and_computer_engineering,9,ELECTRICAL AND COMPUTER ENGINEERING,2019 9
106,2019,imagenet_sample,1,HIGH TECH UPGRADE,2019 1
107,2019,light_wave,6,SPECIFIC LOCATION,2019 6
108,2019,untold_number,2,INDEPENDENT RESEARCHER,2019 2
109,2019,only_the_first_step,8,EMERGE TECHNOLOGY,2019 8
110,2019,economic_status,6,SPECIFIC LOCATION,2019 6
111,2019,social_media_site,2,INDEPENDENT RESEARCHER,2019 2
112,2019,360_degree_camera,0,LARGE DATASET,2019 0
113,2019,air_bubble,6,SPECIFIC LOCATION,2019 6
114,2019,video_analysis,0,LARGE DATASET,2019 0
115,2019,local_feature,0,LARGE DATASET,2019 0
116,2019,adversarial_attack,0,LARGE DATASET,2019 0
117,2019,fair_comparison,0,LARGE DATASET,2019 0
118,2019,remain_half,6,SPECIFIC LOCATION,2019 6
119,2019,hyperspectral_imaging,6,SPECIFIC LOCATION,2019 6
120,2019,now_an_assistant_professor,9,ELECTRICAL AND COMPUTER ENGINEERING,2019 9
121,2019,field_response,1,HIGH TECH UPGRADE,2019 1
122,2019,cognitive_neuroscientist,5,AI SYSTEM,2019 5
123,2019,advanced_analytic_capability,4,INDUSTRY LEADER,2019 4
124,2019,odd_angle,3,MODERN SMARTPHONE,2019 3
125,2019,bounding_box,0,LARGE DATASET,2019 0
126,2019,thin_glass,6,SPECIFIC LOCATION,2019 6
127,2019,offender,1,HIGH TECH UPGRADE,2019 1
128,2019,"1,000_image",0,LARGE DATASET,2019 0
129,2019,four_volunteer,6,SPECIFIC LOCATION,2019 6
130,2019,experimental_testing,6,SPECIFIC LOCATION,2019 6
131,2019,grid_search,0,LARGE DATASET,2019 0
132,2019,google_tensor_processing_unit,8,EMERGE TECHNOLOGY,2019 8
133,2019,numerous_other_example,3,MODERN SMARTPHONE,2019 3
134,2019,classifier,0,LARGE DATASET,2019 0
135,2019,large_collaborative_effort,2,INDEPENDENT RESEARCHER,2019 2
136,2019,biometric_lock,3,MODERN SMARTPHONE,2019 3
137,2019,40_organization,2,INDEPENDENT RESEARCHER,2019 2
138,2019,neutral_background,3,MODERN SMARTPHONE,2019 3
139,2019,handwritten_number,0,LARGE DATASET,2019 0
140,2019,typical_route,3,MODERN SMARTPHONE,2019 3
141,2019,lift_gate,6,SPECIFIC LOCATION,2019 6
142,2019,google_ai_research_division,2,INDEPENDENT RESEARCHER,2019 2
143,2019,high_tech_upgrade,1,HIGH TECH UPGRADE,2019 1
144,2019,openvino_toolkit,8,EMERGE TECHNOLOGY,2019 8
145,2019,cmu_robotics_institute,9,ELECTRICAL AND COMPUTER ENGINEERING,2019 9
146,2019,liquid_lens,6,SPECIFIC LOCATION,2019 6
147,2019,modern_smartphone,3,MODERN SMARTPHONE,2019 3
148,2019,computational_budget,0,LARGE DATASET,2019 0
149,2019,artist_trevor_paglen,2,INDEPENDENT RESEARCHER,2019 2
150,2019,crowdsourced_database,2,INDEPENDENT RESEARCHER,2019 2
151,2019,enterprise_asset_intelligence_vision,4,INDUSTRY LEADER,2019 4
152,2019,normal_setup,3,MODERN SMARTPHONE,2019 3
153,2019,volunteer,2,INDEPENDENT RESEARCHER,2019 2
154,2019,machine_learn_training_process,3,MODERN SMARTPHONE,2019 3
155,2019,photo_assignment,2,INDEPENDENT RESEARCHER,2019 2
156,2019,64_graphic_card,3,MODERN SMARTPHONE,2019 3
157,2019,intel_openvino,1,HIGH TECH UPGRADE,2019 1
158,2019,surprising_failure,3,MODERN SMARTPHONE,2019 3
159,2019,simple_elegant_way,2,INDEPENDENT RESEARCHER,2019 2
160,2019,problematic_training_data,1,HIGH TECH UPGRADE,2019 1
161,2019,then_a_post_doctoral_fellow,1,HIGH TECH UPGRADE,2019 1
162,2019,both_perseverance,1,HIGH TECH UPGRADE,2019 1
163,2019,translucent_square,1,HIGH TECH UPGRADE,2019 1
164,2019,iconic_position,3,MODERN SMARTPHONE,2019 3
165,2019,simple_structure,6,SPECIFIC LOCATION,2019 6
166,2019,kate_crawford,2,INDEPENDENT RESEARCHER,2019 2
167,2019,rapidly_advance_area,8,EMERGE TECHNOLOGY,2019 8
168,2019,modern_boom,1,HIGH TECH UPGRADE,2019 1
169,2019,google_landmarks_v2,1,HIGH TECH UPGRADE,2019 1
170,2019,imagenet_a,1,HIGH TECH UPGRADE,2019 1
171,2019,fix_resource_constraint,3,MODERN SMARTPHONE,2019 3
172,2019,deep_learning_application,1,HIGH TECH UPGRADE,2019 1
173,2019,264_home,1,HIGH TECH UPGRADE,2019 1
174,2019,both_imagenet,1,HIGH TECH UPGRADE,2019 1
175,2019,pay_freelancer,1,HIGH TECH UPGRADE,2019 1
176,2019,microsoft_coco_benchmark,1,HIGH TECH UPGRADE,2019 1
177,2019,encode_key,3,MODERN SMARTPHONE,2019 3
178,2019,instance_semantic_segmentation,1,HIGH TECH UPGRADE,2019 1
179,2019,error_free_assembly,3,MODERN SMARTPHONE,2019 3
180,2019,modern_computer_vision_method,1,HIGH TECH UPGRADE,2019 1
181,2019,appropriate_scale_coefficient,1,HIGH TECH UPGRADE,2019 1
182,2019,dynamic_dictionary,0,LARGE DATASET,2019 0
183,2019,only_single_object,1,HIGH TECH UPGRADE,2019 1
184,2019,previous_network_system,1,HIGH TECH UPGRADE,2019 1
185,2019,resnet_and_resnext_backbone,1,HIGH TECH UPGRADE,2019 1
186,2019,model_interpretability_score,1,HIGH TECH UPGRADE,2019 1
187,2019,scale_dimension,3,MODERN SMARTPHONE,2019 3
188,2019,analyze_layer,1,HIGH TECH UPGRADE,2019 1
189,2019,three_image_classification_benchmark,1,HIGH TECH UPGRADE,2019 1
190,2019,imagenet_roulette,1,HIGH TECH UPGRADE,2019 1
191,2019,bold5000_dataset,1,HIGH TECH UPGRADE,2019 1
192,2019,at_literally_the_speed,1,HIGH TECH UPGRADE,2019 1
193,2019,increasingly_automate_data_power_environment,1,HIGH TECH UPGRADE,2019 1
194,2019,animated_instruction,3,MODERN SMARTPHONE,2019 3
195,2019,instagram_corpora,1,HIGH TECH UPGRADE,2019 1
196,2019,cmu_psychology_department,1,HIGH TECH UPGRADE,2019 1
197,2019,5000_visual_image,1,HIGH TECH UPGRADE,2019 1
198,2019,dataset,1,HIGH TECH UPGRADE,2019 1
199,2019,imagenet_category,1,HIGH TECH UPGRADE,2019 1
200,2019,intelligent_vision_solution,1,HIGH TECH UPGRADE,2019 1
201,2019,continuous_high_dimensional_space,1,HIGH TECH UPGRADE,2019 1
202,2019,co_author_abhinav_gupta,1,HIGH TECH UPGRADE,2019 1
203,2019,experimenter_ability,3,MODERN SMARTPHONE,2019 3
204,2019,cnn_depth,3,MODERN SMARTPHONE,2019 3
205,2019,closure_panel,6,SPECIFIC LOCATION,2019 6
206,2019,modern_object_detector,3,MODERN SMARTPHONE,2019 3
207,2019,peripheral_device,1,HIGH TECH UPGRADE,2019 1
208,2020,information,5,OTHER,2020 5
209,2020,globe_newswire,2,CLASSIFICATION AND PREDICTION TASK,2020 2
210,2020,time,1,REAL WORLD,2020 1
211,2020,real_world,1,REAL WORLD,2020 1
212,2020,research,5,OTHER,2020 5
213,2020,step,1,REAL WORLD,2020 1
214,2020,artificial_intelligence,6,CHALLENGING TASK,2020 6
215,2020,type,6,CHALLENGING TASK,2020 6
216,2020,machine_learning,6,CHALLENGING TASK,2020 6
217,2020,data,6,CHALLENGING TASK,2020 6
218,2020,third_party,5,OTHER,2020 5
219,2020,large_amount,6,CHALLENGING TASK,2020 6
220,2020,other,5,OTHER,2020 5
221,2020,computer_vision_model,4,OBJECT DETECTION,2020 4
222,2020,key_role,6,CHALLENGING TASK,2020 6
223,2020,image_credit,5,OTHER,2020 5
224,2020,late_update,5,OTHER,2020 5
225,2020,mobile_device,5,OTHER,2020 5
226,2020,idea,5,OTHER,2020 5
227,2020,blog_post,5,OTHER,2020 5
228,2020,broad_range,6,CHALLENGING TASK,2020 6
229,2020,pre_trained_model,4,OBJECT DETECTION,2020 4
230,2020,investment_decision,8,CRUCIAL ELEMENT,2020 8
231,2020,computer_science,9,GRADUATE STUDENT,2020 9
232,2020,sponsor_opportunity,2,CLASSIFICATION AND PREDICTION TASK,2020 2
233,2020,virtual_reality,1,REAL WORLD,2020 1
234,2020,open_source,7,GITHUB REPOSITORY,2020 7
235,2020,autonomous_vehicle,1,REAL WORLD,2020 1
236,2020,deep_learn_algorithm,4,OBJECT DETECTION,2020 4
237,2020,end_result,1,REAL WORLD,2020 1
238,2020,facial_recognition,1,REAL WORLD,2020 1
239,2020,operational_efficiency,6,CHALLENGING TASK,2020 6
240,2020,search_engine,5,OTHER,2020 5
241,2020,the_session,3,COGNITIVE LOAD,2020 3
242,2020,cite_source,3,COGNITIVE LOAD,2020 3
243,2020,ai_system,6,CHALLENGING TASK,2020 6
244,2020,automotive_industry,1,REAL WORLD,2020 1
245,2020,3d_printer,1,REAL WORLD,2020 1
246,2020,screen,5,OTHER,2020 5
247,2020,potential,6,CHALLENGING TASK,2020 6
248,2020,overall_performance,6,CHALLENGING TASK,2020 6
249,2020,informational_purpose,5,OTHER,2020 5
250,2020,graduate_student,9,GRADUATE STUDENT,2020 9
251,2020,beginning_stage,6,CHALLENGING TASK,2020 6
252,2020,deep_problem,8,CRUCIAL ELEMENT,2020 8
253,2020,neural_network,4,OBJECT DETECTION,2020 4
254,2020,collection_practice,8,CRUCIAL ELEMENT,2020 8
255,2020,computer_vision_market,1,REAL WORLD,2020 1
256,2020,additional_training,3,COGNITIVE LOAD,2020 3
257,2020,process,6,CHALLENGING TASK,2020 6
258,2020,data_set,4,OBJECT DETECTION,2020 4
259,2020,image_classification,4,OBJECT DETECTION,2020 4
260,2020,powerful_tool,6,CHALLENGING TASK,2020 6
261,2020,sexual_orientation,3,COGNITIVE LOAD,2020 3
262,2020,similar_way,1,REAL WORLD,2020 1
263,2020,natural_language_processing,6,CHALLENGING TASK,2020 6
264,2020,self_drive_car,1,REAL WORLD,2020 1
265,2020,quality_control,6,CHALLENGING TASK,2020 6
266,2020,unintended_consequence,8,CRUCIAL ELEMENT,2020 8
267,2020,potential_legal_action,8,CRUCIAL ELEMENT,2020 8
268,2020,human_brain,3,COGNITIVE LOAD,2020 3
269,2020,consumer_electronic,1,REAL WORLD,2020 1
270,2020,faculty_member,9,GRADUATE STUDENT,2020 9
271,2020,below_code,7,GITHUB REPOSITORY,2020 7
272,2020,financial_expert,8,CRUCIAL ELEMENT,2020 8
273,2020,transaction,8,CRUCIAL ELEMENT,2020 8
274,2020,high_accuracy,6,CHALLENGING TASK,2020 6
275,2020,enforceable_claim,8,CRUCIAL ELEMENT,2020 8
276,2020,crypto_product,2,CLASSIFICATION AND PREDICTION TASK,2020 2
277,2020,regulatory_recourse,0,CELEBRITY ADVERTISING,2020 0
278,2020,n_word,3,COGNITIVE LOAD,2020 3
279,2020,object_detection,4,OBJECT DETECTION,2020 4
280,2020,diverse_background,3,COGNITIVE LOAD,2020 3
281,2020,skin_color,3,COGNITIVE LOAD,2020 3
282,2020,basic_research_effort,2,CLASSIFICATION AND PREDICTION TASK,2020 2
283,2020,extent,8,CRUCIAL ELEMENT,2020 8
284,2020,iphone_x,5,OTHER,2020 5
285,2020,application,6,CHALLENGING TASK,2020 6
286,2020,challenging_task,6,CHALLENGING TASK,2020 6
287,2020,aff_link,5,OTHER,2020 5
288,2020,slow_motion,1,REAL WORLD,2020 1
289,2020,increase_attention,6,CHALLENGING TASK,2020 6
290,2020,correct_one,8,CRUCIAL ELEMENT,2020 8
291,2020,feature_extraction,4,OBJECT DETECTION,2020 4
292,2020,fine_tuning,4,OBJECT DETECTION,2020 4
293,2020,video_frame,4,OBJECT DETECTION,2020 4
294,2020,crucial_element,8,CRUCIAL ELEMENT,2020 8
295,2020,basketball_player,3,COGNITIVE LOAD,2020 3
296,2020,visual_information,3,COGNITIVE LOAD,2020 3
297,2020,digital_reconstruction,4,OBJECT DETECTION,2020 4
298,2020,electrical_and_computer_engineering,9,GRADUATE STUDENT,2020 9
299,2020,people_face,1,REAL WORLD,2020 1
300,2020,relevant_offer,5,OTHER,2020 5
301,2020,cartoon_character,1,REAL WORLD,2020 1
302,2020,brief_introduction,8,CRUCIAL ELEMENT,2020 8
303,2020,full_collection,3,COGNITIVE LOAD,2020 3
304,2020,github_repository,7,GITHUB REPOSITORY,2020 7
305,2020,core_message,3,COGNITIVE LOAD,2020 3
306,2020,art_exhibition,3,COGNITIVE LOAD,2020 3
307,2020,ground_truth,4,OBJECT DETECTION,2020 4
308,2020,now_a_professor,9,GRADUATE STUDENT,2020 9
309,2020,gender_expression,3,COGNITIVE LOAD,2020 3
310,2020,adversarial_attack,4,OBJECT DETECTION,2020 4
311,2020,scuba_diver,3,COGNITIVE LOAD,2020 3
312,2020,semantic_segmentation,4,OBJECT DETECTION,2020 4
313,2020,cognitive_load,3,COGNITIVE LOAD,2020 3
314,2020,laser_scanner,4,OBJECT DETECTION,2020 4
315,2020,camera_movement,4,OBJECT DETECTION,2020 4
316,2020,related_work,8,CRUCIAL ELEMENT,2020 8
317,2020,child_molester,3,COGNITIVE LOAD,2020 3
318,2020,biometric_identification,1,REAL WORLD,2020 1
319,2020,single_module,6,CHALLENGING TASK,2020 6
320,2020,bounding_box,4,OBJECT DETECTION,2020 4
321,2020,smartphone_video,3,COGNITIVE LOAD,2020 3
322,2020,split,3,COGNITIVE LOAD,2020 3
323,2020,constructive_solution,8,CRUCIAL ELEMENT,2020 8
324,2020,dense_cloud,1,REAL WORLD,2020 1
325,2020,clear_bias,3,COGNITIVE LOAD,2020 3
326,2020,team_experiment,2,CLASSIFICATION AND PREDICTION TASK,2020 2
327,2020,popular_technique,6,CHALLENGING TASK,2020 6
328,2020,co_occurrence,3,COGNITIVE LOAD,2020 3
329,2020,transfer,2,CLASSIFICATION AND PREDICTION TASK,2020 2
330,2020,comprehensive_proposal,8,CRUCIAL ELEMENT,2020 8
331,2020,brain_visual_processing_system,2,CLASSIFICATION AND PREDICTION TASK,2020 2
332,2020,geographic_origin,3,COGNITIVE LOAD,2020 3
333,2020,confidence_score,4,OBJECT DETECTION,2020 4
334,2020,computational_unit,6,CHALLENGING TASK,2020 6
335,2020,researcher_purpose,2,CLASSIFICATION AND PREDICTION TASK,2020 2
336,2020,harmful_bias,3,COGNITIVE LOAD,2020 3
337,2020,common_workflow,7,GITHUB REPOSITORY,2020 7
338,2020,fast_r_cnn,4,OBJECT DETECTION,2020 4
339,2020,pixel,4,OBJECT DETECTION,2020 4
340,2020,json_file,7,GITHUB REPOSITORY,2020 7
341,2020,10_female,0,CELEBRITY ADVERTISING,2020 0
342,2020,close_similarity,3,COGNITIVE LOAD,2020 3
343,2020,specialized_sensor,1,REAL WORLD,2020 1
344,2020,structured_light,4,OBJECT DETECTION,2020 4
345,2020,fairness_issue,8,CRUCIAL ELEMENT,2020 8
346,2020,classical_method,6,CHALLENGING TASK,2020 6
347,2020,three_attribute,8,CRUCIAL ELEMENT,2020 8
348,2020,below_code_snippet,2,CLASSIFICATION AND PREDICTION TASK,2020 2
349,2020,person_profile,2,CLASSIFICATION AND PREDICTION TASK,2020 2
350,2020,stereotypical_portrayal,3,COGNITIVE LOAD,2020 3
351,2020,carnegie_mellon_university_researcher,2,CLASSIFICATION AND PREDICTION TASK,2020 2
352,2020,cmu_robotics_institute,9,GRADUATE STUDENT,2020 9
353,2020,mis_annotation,2,CLASSIFICATION AND PREDICTION TASK,2020 2
354,2020,top_1_accuracy,4,OBJECT DETECTION,2020 4
355,2020,old_database,7,GITHUB REPOSITORY,2020 7
356,2020,ms_coco,4,OBJECT DETECTION,2020 4
357,2020,pricey_equipment,1,REAL WORLD,2020 1
358,2020,automate_assembly_line,1,REAL WORLD,2020 1
359,2020,ai_power_chip,0,CELEBRITY ADVERTISING,2020 0
360,2020,attention_operation,2,CLASSIFICATION AND PREDICTION TASK,2020 2
361,2020,1080_ti,0,CELEBRITY ADVERTISING,2020 0
362,2020,four_architecture,6,CHALLENGING TASK,2020 6
363,2020,sensitive_category,2,CLASSIFICATION AND PREDICTION TASK,2020 2
364,2020,demographic_representation,3,COGNITIVE LOAD,2020 3
365,2020,person_religion,3,COGNITIVE LOAD,2020 3
366,2020,mturk_worker,3,COGNITIVE LOAD,2020 3
367,2020,verbal_term,3,COGNITIVE LOAD,2020 3
368,2020,liquid_lense,1,REAL WORLD,2020 1
369,2020,dense_point_cloud,4,OBJECT DETECTION,2020 4
370,2020,cifar_dataset,2,CLASSIFICATION AND PREDICTION TASK,2020 2
371,2020,computer_vision_practitioner,0,CELEBRITY ADVERTISING,2020 0
372,2020,offensive_category,0,CELEBRITY ADVERTISING,2020 0
373,2020,than_14_million_image,0,CELEBRITY ADVERTISING,2020 0
374,2020,person_category,3,COGNITIVE LOAD,2020 3
375,2020,slow_motion_setting,0,CELEBRITY ADVERTISING,2020 0
376,2020,computer_vision_data_set,0,CELEBRITY ADVERTISING,2020 0
377,2020,initial_geometry,1,REAL WORLD,2020 1
378,2020,module,2,CLASSIFICATION AND PREDICTION TASK,2020 2
379,2020,attentive_normalization,0,CELEBRITY ADVERTISING,2020 0
380,2020,recent_art_project,0,CELEBRITY ADVERTISING,2020 0
381,2020,computer_vision_models,0,CELEBRITY ADVERTISING,2020 0
382,2020,highly_accurate_scan,2,CLASSIFICATION AND PREDICTION TASK,2020 2
383,2020,offensive_label,3,COGNITIVE LOAD,2020 3
384,2020,central_innovation,2,CLASSIFICATION AND PREDICTION TASK,2020 2
385,2020,instance_segmentation_benchmark,0,CELEBRITY ADVERTISING,2020 0
386,2020,prior_pitfall,0,CELEBRITY ADVERTISING,2020 0
387,2020,balanced_subset,2,CLASSIFICATION AND PREDICTION TASK,2020 2
388,2020,objectron_dataset,0,CELEBRITY ADVERTISING,2020 0
389,2020,40_50_piece,2,CLASSIFICATION AND PREDICTION TASK,2020 2
390,2020,80_male,0,CELEBRITY ADVERTISING,2020 0
391,2020,core_technical_expertise,2,CLASSIFICATION AND PREDICTION TASK,2020 2
392,2020,celebrity_advertising,0,CELEBRITY ADVERTISING,2020 0
393,2020,princeton_alumna,2,CLASSIFICATION AND PREDICTION TASK,2020 2
394,2020,straightforward_issue,0,CELEBRITY ADVERTISING,2020 0
395,2020,medical_procedure,0,CELEBRITY ADVERTISING,2020 0
396,2020,classification_and_prediction_task,2,CLASSIFICATION AND PREDICTION TASK,2020 2
397,2020,accurate_attitude_estimation,2,CLASSIFICATION AND PREDICTION TASK,2020 2
398,2020,2d_crop,0,CELEBRITY ADVERTISING,2020 0
399,2020,inappropriate_categorization,0,CELEBRITY ADVERTISING,2020 0
400,2020,imagenet_hierarchy,0,CELEBRITY ADVERTISING,2020 0
401,2020,rebalance_tool,2,CLASSIFICATION AND PREDICTION TASK,2020 2
402,2020,imagenet_label,0,CELEBRITY ADVERTISING,2020 0
403,2020,web_interface_tool,0,CELEBRITY ADVERTISING,2020 0
404,2020,80_million_tiny_image,0,CELEBRITY ADVERTISING,2020 0
405,2020,"than_133,000_image",2,CLASSIFICATION AND PREDICTION TASK,2020 2
406,2020,u.s._anti_discrimination_law,8,CRUCIAL ELEMENT,2020 8
407,2020,brain_visual_processing,0,CELEBRITY ADVERTISING,2020 0
408,2020,at_least_three_network,2,CLASSIFICATION AND PREDICTION TASK,2020 2
409,2021,globe_newswire,2,FACEBOOK RESEARCHER,2021 2
410,2021,information,6,BLOG POST,2021 6
411,2021,time,1,DEBUG HARDWARE,2021 1
412,2021,press_release,6,BLOG POST,2021 6
413,2021,full_report,2,FACEBOOK RESEARCHER,2021 2
414,2021,real_world,8,REAL WORLD,2021 8
415,2021,forecast_period,9,E COMMERCE,2021 9
416,2021,large_amount,8,REAL WORLD,2021 8
417,2021,artificial_intelligence,3,COMPUTER VISION,2021 3
418,2021,co_founder,6,BLOG POST,2021 6
419,2021,machine_learning,3,COMPUTER VISION,2021 3
420,2021,research_team,2,FACEBOOK RESEARCHER,2021 2
421,2021,real_time_object_detection,3,COMPUTER VISION,2021 3
422,2021,meaningful_information,3,COMPUTER VISION,2021 3
423,2021,data_science,8,REAL WORLD,2021 8
424,2021,broad_range,8,REAL WORLD,2021 8
425,2021,market_growth,9,E COMMERCE,2021 9
426,2021,end_user,8,REAL WORLD,2021 8
427,2021,decision_making,8,REAL WORLD,2021 8
428,2021,increase_demand,8,REAL WORLD,2021 8
429,2021,kind,8,REAL WORLD,2021 8
430,2021,ai_system,8,REAL WORLD,2021 8
431,2021,financial_advisor,2,FACEBOOK RESEARCHER,2021 2
432,2021,investment_advice,2,FACEBOOK RESEARCHER,2021 2
433,2021,wide_variety,8,REAL WORLD,2021 8
434,2021,comment_section,6,BLOG POST,2021 6
435,2021,part,8,REAL WORLD,2021 8
436,2021,late_update,6,BLOG POST,2021 6
437,2021,blog_post,6,BLOG POST,2021 6
438,2021,e_commerce,9,E COMMERCE,2021 9
439,2021,result,7,ATTENTION MECHANISM,2021 7
440,2021,hybrid_model,7,ATTENTION MECHANISM,2021 7
441,2021,emerge_technology,8,REAL WORLD,2021 8
442,2021,customer_experience,9,E COMMERCE,2021 9
443,2021,automotive_industry,9,E COMMERCE,2021 9
444,2021,company_product,9,E COMMERCE,2021 9
445,2021,human_being,4,DOCUMENT CATEGORIZATION,2021 4
446,2021,mobile_app,6,BLOG POST,2021 6
447,2021,daily_life,8,REAL WORLD,2021 8
448,2021,data_scientist,8,REAL WORLD,2021 8
449,2021,computer_vision,3,COMPUTER VISION,2021 3
450,2021,autonomous_vehicle,3,COMPUTER VISION,2021 3
